Division,Zila,Upazila/Thana,CityCorp/Paurasava,Union/Ward,Name
10,04,85,80,,PATHARGHATA PAURASAVA
10,04,85,80,01,WARD NO-01
10,04,85,80,02,WARD NO-02
10,04,85,80,03,WARD NO-03
10,04,85,80,04,WARD NO-04
10,04,85,80,05,WARD NO-05
10,04,85,80,06,WARD NO-06
10,04,85,80,07,WARD NO-07
10,04,85,80,08,WARD NO-08
10,04,85,80,09,WARD NO-09
10,04,85,99,11,CHAR DUANI
10,04,85,99,23,KAKCHIRA
10,04,85,99,35,KALMEGHA
10,04,85,99,47,KANTHALTALI
10,04,85,99,59,NACHNA PARA
10,04,85,99,71,PATHARGHATA
10,04,85,99,83,RAIHANPUR
10,04,90,,,TALTALI
10,04,90,99,39,BARABAGI
10,04,90,99,43,CHHOTA BAGI
10,04,90,99,79,KARAIBARIA
10,04,90,99,91,NISHANBARIA
10,04,90,99,94,PONCHA KORALIA
10,04,90,99,95,SARIKKHALI
10,04,90,99,96,SONAKATA
10,06,,,,BARISAL
10,06,02,,,AGAILJHARA
10,06,02,99,13,BAGDHA
10,06,02,99,15,BAKAL
10,06,02,99,47,GAILA
10,06,02,99,79,RAJIHER
10,06,02,99,87,RATNAPUR
10,06,03,,,BABUGANJ
10,06,03,99,13,JAHANGIR NAGAR(AGARPUR)
10,06,03,99,27,CHANDPASHA
10,06,03,99,40,DEHERGATI
10,06,03,99,54,KEDARPUR
10,06,03,99,67,MADHAB PASHA
10,06,03,99,81,RAHMATPUR
10,06,07,,,BAKERGANJ
10,06,07,16,,BAKERGANJ PAURASAVA
10,06,07,16,01,WARD NO-01
10,06,07,16,02,WARD NO-02
10,06,07,16,03,WARD NO-03
10,06,07,16,04,WARD NO-04
10,06,07,16,05,WARD NO-05
10,06,07,16,06,WARD NO-06
10,06,07,16,07,WARD NO-07
10,06,07,16,08,WARD NO-08
10,06,07,16,09,WARD NO-09
10,06,07,99,12,BHAR PASHA
10,06,07,99,13,CHARADI
10,06,07,99,20,CHAR AMADDI
10,06,07,99,27,DARIAL
10,06,07,99,33,DUDHAL
10,06,07,99,40,DURGA PASHA
10,06,07,99,47,FARIDPUR
10,06,07,99,54,GARURIA
10,06,07,99,61,KABAI
10,06,07,99,67,KALASKATI
10,06,07,99,74,NALUA
10,06,07,99,81,NIAMATI
10,06,07,99,88,PADRI SHIBPUR
10,06,07,99,94,RANGASREE
10,06,10,,,BANARI PARA
10,06,10,33,,BANARI PARA PAURASAVA
10,06,10,33,01,WARD NO-01
10,06,10,33,02,WARD NO-02
10,06,10,33,03,WARD NO-03
10,06,10,33,04,WARD NO-04
10,06,10,33,05,WARD NO-05
10,06,10,33,06,WARD NO-06
10,06,10,33,07,WARD NO-07
10,06,10,33,08,WARD NO-08
10,06,10,33,09,WARD NO-09
10,06,10,99,10,BANARIPARA
10,06,10,99,21,BAISARI
10,06,10,99,31,BISARKANDI
10,06,10,99,42,CHAKHAR
10,06,10,99,52,ILUHAR
10,06,10,99,63,SALIA BAKPUR
10,06,10,99,73,SAIDKATI
10,06,10,99,84,UDAYKATI
10,06,32,,,GAURNADI
10,06,32,67,,GAURNADI PAURASAVA
10,06,32,67,01,WARD NO-01
10,06,32,67,02,WARD NO-02
10,06,32,67,03,WARD NO-03
10,06,32,67,04,WARD NO-04
10,06,32,67,05,WARD NO-05
10,06,32,67,06,WARD NO-06
10,06,32,67,07,WARD NO-07
10,06,32,67,08,WARD NO-08
10,06,32,67,09,WARD NO-09
10,06,32,99,23,BARTHI
10,06,32,99,31,BATAJORE
10,06,32,99,38,CHANDSHI
10,06,32,99,55,KHANJAPUR
10,06,32,99,63,MAHILARA
10,06,32,99,71,NALCHIRA
10,06,32,99,94,SARIKAL
10,06,36,,,HIZLA
10,06,36,99,13,BARA JALIA
10,06,36,99,27,DHULKHOLA
10,06,36,99,54,GUABARIA
10,06,36,99,67,HARINATHPUR
10,06,36,99,81,HIZLA GAURABDI
10,06,36,99,94,MEMANIA
10,06,51,,,BARISAL SADAR (KOTWALI)
10,06,51,50,,BARISAL CITY CORP.
10,06,51,50,01,WARD NO-01
10,06,51,50,02,WARD NO-02
10,06,51,50,03,WARD NO-03
10,06,51,50,04,WARD NO-04
10,06,51,50,05,WARD NO-05
10,06,51,50,06,WARD NO-06
10,06,51,50,07,WARD NO-07
10,06,51,50,08,WARD NO-08
10,06,51,50,09,WARD NO-09
10,06,51,50,10,WARD NO-10
10,06,51,50,11,WARD NO-11
10,06,51,50,12,WARD NO-12
10,06,51,50,13,WARD NO-13
10,06,51,50,14,WARD NO-14
10,06,51,50,15,WARD NO-15
10,06,51,50,16,WARD NO-16
10,06,51,50,17,WARD NO-17
10,06,51,50,18,WARD NO-18
10,06,51,50,19,WARD NO-19
10,06,51,50,20,WARD NO-20
10,06,51,50,21,WARD NO-21
10,06,51,50,22,WARD NO-22
10,06,51,50,23,WARD NO-23
10,06,51,50,24,WARD NO-24
10,06,51,50,25,WARD NO-25
10,06,51,50,26,WARD NO-26
10,06,51,50,27,WARD NO-27
10,06,51,50,28,WARD NO-28
10,06,51,50,29,WARD NO-29
10,06,51,50,30,WARD NO-30
10,06,51,99,32,CHANDPURA
10,06,51,99,33,CHANDRA MOHAN
10,06,51,99,34,CHAR BARIA
10,06,51,99,43,CHAR KOWA
10,06,51,99,51,CHAR MONAI
10,06,51,99,60,JAGUA
10,06,51,99,69,KASHIPUR
10,06,51,99,77,ROY PASHA KARAPUR
10,06,51,99,86,SHAYESTABAD
10,06,51,99,94,TUNGIBARIA
10,06,62,,,MHENDIGANJ
10,06,62,83,,MHENDIGANJ PAURASAVA
10,06,62,83,01,WARD NO-01
10,06,62,83,02,WARD NO-02
10,06,62,83,03,WARD NO-03
10,06,62,83,04,WARD NO-04
10,06,62,83,05,WARD NO-05
10,06,62,83,06,WARD NO-06
10,06,62,83,07,WARD NO-07
10,06,62,83,08,WARD NO-08
10,06,62,83,09,WARD NO-09
10,06,62,99,13,ALIMABAD
10,06,62,99,15,ANDHAR MANIK
10,06,62,99,23,BHASAN CHAR
10,06,62,99,31,BIDYANANDAPUR
10,06,62,99,39,CHANDPUR
10,06,62,99,40,GOBINDAPUR
10,06,62,99,47,CHAR EKKARIA
10,06,62,99,55,CHAR GOPALPUR
10,06,62,99,63,DARI CHAR KHAJURIA
10,06,62,99,71,JANGALIA
10,06,62,99,79,LATA
10,06,62,99,87,MEHENDIGANJ
10,06,62,99,94,ULANIA
10,06,69,,,MULADI
10,06,69,87,,MULADI PAURASHAVA
10,06,69,87,01,WARD NO-01
10,06,69,87,02,WARD NO-02
10,06,69,87,03,WARD NO-03
10,06,69,87,04,WARD NO-04
10,06,69,87,05,WARD NO-05
10,06,69,87,06,WARD NO-06
10,06,69,87,07,WARD NO-07
10,06,69,87,08,WARD NO-08
10,06,69,87,09,WARD NO-09
10,06,69,99,11,BATAMARA
10,06,69,99,23,CHAR KALEKHAN
10,06,69,99,35,GACHHUA
10,06,69,99,47,KAZIR CHAR
10,06,69,99,59,MULADI
10,06,69,99,71,NAZIRPUR
10,06,69,99,83,SAFIPUR
10,06,94,,,WAZIRPUR
10,06,94,99,10,BAMRAIL
10,06,94,99,21,BARA KOTHA
10,06,94,99,31,GUTHIA
10,06,94,99,42,HARTA
10,06,94,99,52,JALLA
10,06,94,99,63,OTRA
10,06,94,99,73,SATLA
10,06,94,99,84,SHIKARPUR
10,06,94,99,94,SHOLAK
10,09,,,,BHOLA
10,09,18,,,BHOLA SADAR
10,09,18,16,,BHOLA PAURASAVA
10,09,18,16,01,WARD NO-01
10,09,18,16,02,WARD NO-02
10,09,18,16,03,WARD NO-03
10,09,18,16,04,WARD NO-04
10,09,18,16,05,WARD NO-05
10,09,18,16,06,WARD NO-06
10,09,18,16,07,WARD NO-07
10,09,18,16,08,WARD NO-08
10,09,18,16,09,WARD NO-09
10,09,18,99,12,ALINAGAR
10,09,18,99,14,BAPTA
10,09,18,99,21,CHAR SAMAIA
10,09,18,99,29,CHAR SHIBPUR
10,09,18,99,36,DHANIA
10,09,18,99,51,ILLISHA
10,09,18,99,55,PASCHIM ILISHA
10,09,18,99,58,KACHIA
10,09,18,99,65,UTTAR DIGHALDI
10,09,18,99,73,RAJAPUR
10,09,18,99,80,DAKSHIN DIGHALDI
10,09,18,99,87,VEDURIA
10,09,18,99,94,BHELU MIAH
10,09,21,,,BURHANUDDIN
10,09,21,33,,BURHANUDDIN PAURASAVA
10,09,21,33,01,WARD NO-01
10,09,21,33,02,WARD NO-02
10,09,21,33,03,WARD NO-03
10,09,21,33,04,WARD NO-04
10,09,21,33,05,WARD NO-05
10,09,21,33,06,WARD NO-06
10,09,21,33,07,WARD NO-07
10,09,21,33,08,WARD NO-08
10,09,21,33,09,WARD NO-09
10,09,21,99,16,BARA MANIKA
10,09,21,99,19,DEULA
10,09,21,99,28,GANGAPUR
10,09,21,99,38,HASSAN NAGAR
10,09,21,99,47,KACHIA
10,09,21,99,57,KUTBA
10,09,21,99,66,PAKSHIA
10,09,21,99,76,SACHRA
10,09,21,99,95,TABGI
10,09,25,,,CHAR FASSON
10,09,25,50,,CHAR FASSON PAURASAVA
10,09,25,50,01,WARD NO-01
10,09,25,50,02,WARD NO-02
10,09,25,50,03,WARD NO-03
10,09,25,50,04,WARD NO-04
10,09,25,50,05,WARD NO-05
10,09,25,50,06,WARD NO-06
10,09,25,50,07,WARD NO-07
10,09,25,50,08,WARD NO-08
10,09,25,50,09,WARD NO-09
10,09,25,99,11,ABU BAKARPUR
10,09,25,99,13,ABDULLAPUR
10,09,25,99,14,ADHAKHA NAZRUL NAGAR
10,09,25,99,15,AMINABAD
10,09,25,99,19,ASLAMPUR
10,09,25,99,28,CHAR KALMI
10,09,25,99,38,CHAR MADRAS
10,09,25,99,47,CHAR MANIKA
10,09,25,99,51,DHAL CHAR
10,09,25,99,53,EWAJPUR
10,09,25,99,57,HAZARIGANJ
10,09,25,99,63,JAHANPUR
10,09,25,99,66,JINNAGHAR
10,09,25,99,70,CHAR KUKRI MUKRI
10,09,25,99,73,MUJIBNAGAR
10,09,25,99,76,NILKAMAL
10,09,25,99,85,NURABAD
10,09,25,99,88,RASULPUR
10,09,25,99,95,OSMANGANJ
10,09,29,,,DAULAT KHAN
10,09,29,67,,DAULATKHAN PAURASAVA
10,09,29,67,01,WARD NO-01
10,09,29,67,02,WARD NO-02
10,09,29,67,03,WARD NO-03
10,09,29,67,04,WARD NO-04
10,09,29,67,05,WARD NO-05
10,09,29,67,06,WARD NO-06
10,09,29,67,07,WARD NO-07
10,09,29,67,08,WARD NO-08
10,09,29,67,09,WARD NO-09
10,09,29,99,16,BHABANIPUR
10,09,29,99,19,CHAR KHALIFA
10,09,29,99,28,CHAR PATA
10,09,29,99,38,HAJIPUR
10,09,29,99,47,MADANPUR
10,09,29,99,57,MEDUA
10,09,29,99,76,UTTAR JOYNAGAR
10,09,29,99,85,DAKSHIN JOYNAGAR
10,09,29,99,95,SAIDPUR
10,09,54,,,LALMOHAN
10,09,54,83,,LALMOHAN PAURASAVA
10,09,54,83,01,WARD NO-01
10,09,54,83,02,WARD NO-02
10,09,54,83,03,WARD NO-03
10,09,54,83,04,WARD NO-04
10,09,54,83,05,WARD NO-05
10,09,54,83,06,WARD NO-06
10,09,54,83,07,WARD NO-07
10,09,54,83,08,WARD NO-08
10,09,54,83,09,WARD NO-09
10,09,54,99,16,BADARPUR
10,09,54,99,19,CHAR BHUTA
10,09,54,99,28,DHALI GAURNAGAR
10,09,54,99,38,FARAZGANJ
10,09,54,99,47,KALMA
10,09,54,99,57,LALMOHAN
10,09,54,99,66,LORD HARDINJE
10,09,54,99,70,PASCHIM CHAR UMED
10,09,54,99,76,RAMAGANJ
10,09,65,,,MANPURA
10,09,65,99,21,DAKSHIN SAKUCHIA
10,09,65,99,23,HAJIRHAT
10,09,65,99,47,MANPURA
10,09,65,99,71,UTTAR SAKUCHIA
10,09,91,,,TAZUMUDDIN
10,09,91,99,19,BARA MALANCHA
10,09,91,99,38,CHANCHRA
10,09,91,99,57,CHANDPUR
10,09,91,99,76,SONAPUR
10,09,91,99,85,SHAMBHUPUR
10,42,,,,JHALOKATI
10,42,40,,,JHALOKATI SADAR
10,42,40,33,,JHALOKATI PAURASAVA
10,42,40,33,01,WARD NO-01
10,42,40,33,02,WARD NO-02
10,42,40,33,03,WARD NO-03
10,42,40,33,04,WARD NO-04
10,42,40,33,05,WARD NO-05
10,42,40,33,06,WARD NO-06
10,42,40,33,07,WARD NO-07
10,42,40,33,08,WARD NO-08
10,42,40,33,09,WARD NO-09
10,42,40,99,17,BASANDA
10,42,40,99,19,BINOYKATI
10,42,40,99,28,GABKHAN DHANSIRI
10,42,40,99,38,GABHA RAMCHANDRAPUR
10,42,40,99,57,KEORA
10,42,40,99,63,NATHULLABAD
10,42,40,99,66,KIRTIPASHA
10,42,40,99,76,NABAGRAM
10,42,40,99,85,PONABALIA
10,42,40,99,95,SEKHERHAT
10,42,43,,,KANTHALIA
10,42,43,99,15,AMUA
10,42,43,99,31,AWRABUNIA
10,42,43,99,47,CHENCHRI RAMPUR
10,42,43,99,63,KANTHALIA
10,42,43,99,79,PATKHALGHATA
10,42,43,99,94,SAULAJALIA
10,42,73,,,NALCHITY
10,42,73,66,,NALCHITY PAURASAVA
10,42,73,66,01,WARD NO-01
10,42,73,66,02,WARD NO-02
10,42,73,66,03,WARD NO-03
10,42,73,66,04,WARD NO-04
10,42,73,66,05,WARD NO-05
10,42,73,66,06,WARD NO-06
10,42,73,66,07,WARD NO-07
10,42,73,66,08,WARD NO-08
10,42,73,66,09,WARD NO-09
10,42,73,99,13,BHARABPASHA
10,42,73,99,15,DAPDAPIA
10,42,73,99,21,KULKATI
10,42,73,99,31,KUSANGHAL
10,42,73,99,36,MOLLAHAT
10,42,73,99,42,MAGAR
10,42,73,99,52,NACHAN MOHAL
10,42,73,99,73,RANAPASHA
10,42,73,99,84,SIDDHAKATI
10,42,73,99,94,SUBIDPUR
10,42,84,,,RAJAPUR
10,42,84,99,13,BARAMAIA
10,42,84,99,27,GALUA
10,42,84,99,40,MATHBARI
10,42,84,99,54,RAJAPUR
10,42,84,99,67,SATURIA
10,42,84,99,81,SUKTAGARH
10,78,,,,PATUAKHALI
10,78,38,,,BAUPHAL
10,78,38,16,,BAUPHAL PAURASHAVA
10,78,38,16,01,WARD NO-01
10,78,38,16,02,WARD NO-02
10,78,38,16,03,WARD NO-03
10,78,38,16,04,WARD NO-04
10,78,38,16,05,WARD NO-05
10,78,38,16,06,WARD NO-06
10,78,38,16,07,WARD NO-07
10,78,38,16,08,WARD NO-08
10,78,38,16,09,WARD NO-09
10,78,38,99,10,ADABARIA
10,78,38,99,11,BAGA
10,78,38,99,29,BAUPHAL
10,78,38,99,32,CHANDRADIP
10,78,38,99,35,DASPARA
10,78,38,99,41,DHULIA
10,78,38,99,47,KANCHI PARA
10,78,38,99,53,KALAIYA
10,78,38,99,59,KALISURI
10,78,38,99,65,KANAKDIA
10,78,38,99,71,KESHABPUR
10,78,38,99,77,MADANPURA
10,78,38,99,83,NOAMALA
10,78,38,99,89,NAZIRPUR
10,78,38,99,95,SURJYAMANI
10,78,52,,,DASHMINA
10,78,52,99,10,ALIPUR
10,78,52,99,21,BAHRAMPUR
10,78,52,99,31,BANSHBARIA
10,78,52,99,42,BETAGI SANKIPURA
10,78,52,99,52,DASHMINA
10,78,52,99,84,RANGOPALDI
10,78,55,,,DUMKI
10,78,55,99,19,ANGARIA
10,78,55,99,47,LEBUKHALI
10,78,55,99,81,MURADIA
10,78,55,99,88,PANGASHIA
10,78,55,99,93,SREERAMPUR
10,78,57,,,GALACHIPA
10,78,57,25,,GALACHIPA PAURASAVA
10,78,57,25,01,WARD NO-01
10,78,57,25,02,WARD NO-02
10,78,57,25,03,WARD NO-03
10,78,57,25,04,WARD NO-04
10,78,57,25,05,WARD NO-05
10,78,57,25,06,WARD NO-06
10,78,57,25,07,WARD NO-07
10,78,57,25,08,WARD NO-08
10,78,57,25,09,WARD NO-09
10,78,57,99,11,AMKHOLA
10,78,57,99,22,BAKULBARIA
10,78,57,99,37,CHAR BISWAS
10,78,57,99,39,CHAR KAJAL
10,78,57,99,50,CHIKNIKANDI
10,78,57,99,55,DAKUA
10,78,57,99,67,GALACHIPA
10,78,57,99,69,GAZALIA
10,78,57,99,72,GOLKHALI
10,78,57,99,75,KALAGACHHIA
10,78,57,99,78,PANPATTY
10,78,57,99,94,RATANDI TALTALI
10,78,66,,,KALAPARA
10,78,66,50,,KALAPARA PAURASAVA
10,78,66,50,01,WARD NO-01
10,78,66,50,02,WARD NO-02
10,78,66,50,03,WARD NO-03
10,78,66,50,04,WARD NO-04
10,78,66,50,05,WARD NO-05
10,78,66,50,06,WARD NO-06
10,78,66,50,07,WARD NO-07
10,78,66,50,08,WARD NO-08
10,78,66,50,09,WARD NO-09
10,78,66,60,,KUAKATA PAURASAVA
10,78,66,60,61,WARD NO-01
10,78,66,60,62,WARD NO-02
10,78,66,60,63,WARD NO-03
10,78,66,60,64,WARD NO-04
10,78,66,60,65,WARD NO-05
10,78,66,60,66,WARD NO-06
10,78,66,60,67,WARD NO-07
10,78,66,60,68,WARD NO-08
10,78,66,60,69,WARD NO-09
10,78,66,99,10,BALIATALI
10,78,66,99,11,CHAKAMAIYA
10,78,66,99,13,CHAMPAPUR
10,78,66,99,15,DALBUGANJ
10,78,66,99,23,MOHIPUR
10,78,66,99,29,DHULASAR
10,78,66,99,35,LALUA
10,78,66,99,47,LATA CHAPLI
10,78,66,99,55,DHANKHALI
10,78,66,99,59,MITHAGANJ
10,78,66,99,71,NILGANJ
10,78,66,99,83,TIAKHALI
10,78,76,,,MIRZAGANJ
10,78,76,99,13,AMRAGACHHIA
10,78,76,99,27,DEULI SUBIDKHALI
10,78,76,99,40,KAKRABUNIA
10,78,76,99,54,MADHABKHALI
10,78,76,99,67,MAJIDBARI
10,78,76,99,81,MIRZAGANJ
10,78,95,,,PATUAKHALI SADAR
10,78,95,75,,PATUAKHALI PAURASHAVA
10,78,95,75,01,WARD NO-01
10,78,95,75,02,WARD NO-02
10,78,95,75,03,WARD NO-03
10,78,95,75,04,WARD NO-04
10,78,95,75,05,WARD NO-05
10,78,95,75,06,WARD NO-06
10,78,95,75,07,WARD NO-07
10,78,95,75,08,WARD NO-08
10,78,95,75,09,WARD NO-09
10,78,95,99,10,AULIAPUR
10,78,95,99,11,BADARPUR
10,78,95,99,13,CHHOTA BIGHAI
10,78,95,99,20,ITABARIA
10,78,95,99,27,JAINKATI
10,78,95,99,31,BARA BIGHAI
10,78,95,99,33,KALIKAPUR
10,78,95,99,40,KAMALAPUR
10,78,95,99,54,LOHALIA
10,78,95,99,61,LAUKATI
10,78,95,99,67,MADARBUNIA
10,78,95,99,74,MARICHBUNIA
10,78,97,,,RANGABALI
10,78,97,99,27,BARA BAISDIA
10,78,97,99,32,CHALITABUNIA
10,78,97,99,34,CHAR MONTAZ
10,78,97,99,44,CHHOTA BAISDIA
10,78,97,99,83,RANGABALI
10,79,,,,PIROJPUR
10,79,14,,,BHANDARIA
10,79,14,99,11,BHANDARIA
10,79,14,99,23,BHITABARIA
10,79,14,99,35,DHAOA
10,79,14,99,47,GAURIPUR
10,79,14,99,59,IKRI
10,79,14,99,71,NUDMULLA
10,79,14,99,83,TELIKHALI
10,79,47,,,KAWKHALI
10,79,47,99,15,AMRAJURI
10,79,47,99,31,CHIRA PARA PARSATURIA
10,79,47,99,47,KAWKHALI
10,79,47,99,63,SAYNA RAGHUNATHPUR
10,79,47,99,79,SHIALKATI
10,79,58,,,MATHBARIA
10,79,58,25,,MATHBARIA PAURASAVA
10,79,58,25,01,WARD NO-01
10,79,58,25,02,WARD NO-02
10,79,58,25,03,WARD NO-03
10,79,58,25,04,WARD NO-04
10,79,58,25,05,WARD NO-05
10,79,58,25,06,WARD NO-06
10,79,58,25,07,WARD NO-07
10,79,58,25,08,WARD NO-08
10,79,58,25,09,WARD NO-09
10,79,58,99,15,AMRAGACHHIA
10,79,58,99,17,BARA MACHHUA
10,79,58,99,25,BETMORE RAJPARA
10,79,58,99,34,DAUDKHALI
10,79,58,99,43,DHANISAFA
10,79,58,99,51,GULISHAKHALI
10,79,58,99,60,MATHBARIA
10,79,58,99,69,MIRUKHALI
10,79,58,99,77,SAPLEZA
10,79,58,99,86,TIKIKATA
10,79,58,99,94,TUSHKHALI
10,79,76,,,NAZIRPUR
10,79,76,99,10,DIRGHA UNION
10,79,76,99,21,DEULBARI DOBRA
10,79,76,99,25,KOLARDOANIA
10,79,76,99,31,MALIKHALI
10,79,76,99,42,MATIBHANGA
10,79,76,99,52,NAZIRPUR
10,79,76,99,63,SEKHMATIA
10,79,76,99,73,SHANKHARIKATI
10,79,76,99,84,SREERAMKATI UNION
10,79,80,,,PIROJPUR SADAR
10,79,80,50,,PIROJPUR PAURASAVA
10,79,80,50,01,WARD NO-01
10,79,80,50,02,WARD NO-02
10,79,80,50,03,WARD NO-03
10,79,80,50,04,WARD NO-04
10,79,80,50,05,WARD NO-05
10,79,80,50,06,WARD NO-06
10,79,80,50,07,WARD NO-07
10,79,80,50,08,WARD NO-08
10,79,80,50,09,WARD NO-09
10,79,80,99,17,DURGAPUR
10,79,80,99,25,KADAMTALA UNION
10,79,80,99,34,KALAKHALI
10,79,80,99,69,SHANKARPASHA
10,79,80,99,77,SARIKTALA DUMRITALA
10,79,80,99,86,SIKDAR MALLIK
10,79,80,99,94,TONA
10,79,87,,,NESARABAD (SWARUPKATI)
10,79,87,75,,SWARUPKATI PAURASAVA
10,79,87,75,01,WARD NO-01
10,79,87,75,02,WARD NO-02
10,79,87,75,03,WARD NO-03
10,79,87,75,04,WARD NO-04
10,79,87,75,05,WARD NO-05
10,79,87,75,06,WARD NO-06
10,79,87,75,07,WARD NO-07
10,79,87,75,08,WARD NO-08
10,79,87,75,09,WARD NO-09
10,79,87,99,17,ATGHAR KURIANA UNION
10,79,87,99,19,BALDIA
10,79,87,99,28,DAIHARI
10,79,87,99,38,GUAREKHA UNION
10,79,87,99,47,JALABARI
10,79,87,99,57,SAMUDAYKATI
10,79,87,99,66,SARENGKATI
10,79,87,99,76,SOHAGDAL
10,79,87,99,85,SUTIAKATI
10,79,87,99,95,NESARABAD (SWARUPKATI)
10,79,90,,,ZIANAGAR
10,79,90,99,15,BALI PARA
10,79,90,99,43,PARERHAT
10,79,90,99,51,PATTASHI
20,,,,,CHITTAGONG
20,03,,,,BANDARBAN
20,03,04,,,ALIKADAM
20,03,04,99,31,ALIKADAM
20,03,04,99,63,CHOKHYONG
20,03,14,,,BANDARBAN SADAR
20,03,14,50,,BANDARBAN PAURASHAVA
20,03,14,50,01,WARD NO-01
20,03,14,50,02,WARD NO-02
20,03,14,50,03,WARD NO-03
20,03,14,50,04,WARD NO-04
20,03,14,50,05,WARD NO-05
20,03,14,50,06,WARD NO-06
20,03,14,50,07,WARD NO-07
20,03,14,50,08,WARD NO-08
20,03,14,50,09,WARD NO-09
20,03,14,99,15,BANDARBAN
20,03,14,99,31,KUHALONG
20,03,14,99,47,RAJBILA
20,03,14,99,63,SUWALAK
20,03,14,99,79,TANKABATI
20,03,51,,,LAMA
20,03,51,62,,LAMA PAURASHAVA
20,03,51,62,01,WARD NO-01
20,03,51,62,02,WARD NO-02
20,03,51,62,03,WARD NO-03
20,03,51,62,04,WARD NO-04
20,03,51,62,05,WARD NO-05
20,03,51,62,06,WARD NO-06
20,03,51,62,07,WARD NO-07
20,03,51,62,08,WARD NO-08
20,03,51,62,09,WARD NO-09
20,03,51,99,15,AZIZNAGAR
20,03,51,99,27,FAITANG
20,03,51,99,31,FASYAKHALI
20,03,51,99,47,GAJALIA
20,03,51,99,63,LAMA
20,03,51,99,68,RUPSHIPARA
20,03,51,99,79,SARAI
20,03,73,,,NAIKHONGCHHARI
20,03,73,99,19,BAISHARI
20,03,73,99,38,DOCHHARI
20,03,73,99,57,GHUMDUM
20,03,73,99,76,NAIKHONGCHHARI
20,03,73,99,87,SONAICHHARI
20,03,89,,,ROWANGCHHARI
20,03,89,99,19,ALIKHONG
20,03,89,99,38,NOWA PATANG
20,03,89,99,57,ROWANGCHHARI
20,03,89,99,76,TARACHHA
20,03,91,,,RUMA
20,03,91,99,19,GHALANGYA
20,03,91,99,38,PAINDU
20,03,91,99,57,REMAKRI PRANSA
20,03,91,99,76,RUMA
20,03,95,,,THANCHI
20,03,95,99,19,BALIPARA
20,03,95,99,38,REMAKRY
20,03,95,99,57,THANCHI
20,03,95,99,76,TINDU
20,12,,,,BRAHMANBARIA
20,12,02,,,AKHAURA
20,12,02,22,,AKHAURA PAURASAVA
20,12,02,22,01,WARD NO-01
20,12,02,22,02,WARD NO-02
20,12,02,22,03,WARD NO-03
20,12,02,22,04,WARD NO-04
20,12,02,22,05,WARD NO-05
20,12,02,22,06,WARD NO-06
20,12,02,22,07,WARD NO-07
20,12,02,22,08,WARD NO-08
20,12,02,22,09,WARD NO-09
20,12,02,99,19,DAKSHIN AKHAURA
20,12,02,99,57,DHARKHAR
20,12,02,99,76,MANIAND
20,12,02,99,85,MOGRA
20,12,02,99,90,UTTAR AKHAURA
20,12,04,,,BANCHHARAMPUR
20,12,04,99,14,AYUBPUR
20,12,04,99,23,DARIADAULAT
20,12,04,99,30,PAHARIAKANDI
20,12,04,99,36,SAIFULLAKANDI
